time,x,y,z,class
2016-05-11 15:07:56.415,-1.484375,0.1875,-0.75,walk_fast
2016-05-11 15:07:56.425,-1.1875,0.421875,1.09375,walk_fast
2016-05-11 15:07:56.435,-0.75,0.375,0.921875,walk_fast
2016-05-11 15:07:56.445,-0.53125,0.4375,0.734375,walk_fast
2016-05-11 15:07:56.455,-0.40625,0.84375,0.921875,walk_fast
2016-05-11 15:07:56.464,-0.296875,0.453125,0.71875,walk_fast
2016-05-11 15:07:56.474,-0.53125,-0.140625,0.578125,walk_fast
2016-05-11 15:07:56.484,-1.015625,-0.453125,0.484375,walk_fast
2016-05-11 15:07:56.494,-1.6875,-0.203125,0.421875,walk_fast
2016-05-11 15:07:56.504,-1.703125,-0.125,0.25,walk_fast
2016-05-11 15:07:56.513,-1.1875,-0.234375,0.203125,walk_fast
2016-05-11 15:07:56.523,-0.890625,-0.234375,0.265625,walk_fast
2016-05-11 15:07:56.533,-0.828125,-0.109375,0.25,walk_fast
2016-05-11 15:07:56.543,-0.828125,0.0625,0.171875,walk_fast
2016-05-11 15:07:56.553,-0.796875,0.234375,0.078125,walk_fast
2016-05-11 15:07:56.563,-0.734375,0.25,0.046875,walk_fast
2016-05-11 15:07:56.572,-0.671875,0.09375,0.125,walk_fast
2016-05-11 15:07:56.582,-0.65625,-0.0625,0.25,walk_fast
2016-05-11 15:07:56.592,-0.75,-0.15625,0.328125,walk_fast
2016-05-11 15:07:56.602,-0.859375,-0.140625,0.359375,walk_fast
2016-05-11 15:07:56.612,-0.9375,-0.125,0.328125,walk_fast
2016-05-11 15:07:56.622,-0.96875,-0.125,0.203125,walk_fast
2016-05-11 15:07:56.632,-1.0,-0.125,0.046875,walk_fast
2016-05-11 15:07:56.641,-0.984375,-0.125,-0.015625,walk_fast
2016-05-11 15:07:56.651,-0.953125,-0.140625,-0.03125,walk_fast
2016-05-11 15:07:56.661,-0.890625,-0.171875,0.015625,walk_fast
2016-05-11 15:07:56.671,-0.859375,-0.25,-0.015625,walk_fast
2016-05-11 15:07:56.681,-0.890625,-0.3125,-0.078125,walk_fast
2016-05-11 15:07:56.691,-0.96875,-0.390625,-0.125,walk_fast
2016-05-11 15:07:56.700,-1.046875,-0.40625,-0.09375,walk_fast
2016-05-11 15:07:56.710,-1.09375,-0.375,-0.015625,walk_fast
2016-05-11 15:07:56.720,-1.140625,-0.28125,-0.015625,walk_fast
2016-05-11 15:07:56.730,-1.21875,-0.203125,-0.140625,walk_fast
2016-05-11 15:07:56.740,-1.28125,-0.234375,-0.28125,walk_fast
2016-05-11 15:07:56.750,-1.328125,-0.296875,-0.21875,walk_fast
2016-05-11 15:07:56.759,-1.375,-0.390625,-0.140625,walk_fast
2016-05-11 15:07:56.769,-1.375,-0.5,-0.125,walk_fast
2016-05-11 15:07:56.779,-1.34375,-0.65625,-0.046875,walk_fast
2016-05-11 15:07:56.789,-1.3125,-0.859375,0.03125,walk_fast
2016-05-11 15:07:56.799,-1.28125,-1.03125,0.046875,walk_fast
2016-05-11 15:07:56.808,-1.265625,-1.171875,-0.125,walk_fast
2016-05-11 15:07:56.818,-1.34375,-1.203125,-0.4375,walk_fast
2016-05-11 15:07:56.828,-1.5,-1.0625,-0.609375,walk_fast
2016-05-11 15:07:56.838,-1.53125,-0.640625,-0.515625,walk_fast
2016-05-11 15:07:56.848,-1.640625,-0.1875,-0.296875,walk_fast
2016-05-11 15:07:56.858,-1.921875,0.109375,-0.453125,walk_fast
2016-05-11 15:07:56.868,-1.96875,0.28125,-0.09375,walk_fast
2016-05-11 15:07:56.877,-1.671875,0.40625,0.453125,walk_fast
2016-05-11 15:07:56.887,-1.4375,0.203125,0.921875,walk_fast
2016-05-11 15:07:56.897,-1.5,-0.109375,1.046875,walk_fast
2016-05-11 15:07:56.907,-1.8125,-0.484375,0.65625,walk_fast
2016-05-11 15:07:56.917,-2.140625,-0.78125,0.109375,walk_fast
2016-05-11 15:07:56.927,-2.234375,-0.6875,0.015625,walk_fast
2016-05-11 15:07:56.936,-2.171875,-0.203125,0.25,walk_fast
2016-05-11 15:07:56.946,-1.984375,0.171875,0.515625,walk_fast
2016-05-11 15:07:56.956,-1.734375,0.359375,0.546875,walk_fast
2016-05-11 15:07:56.966,-1.53125,0.34375,0.390625,walk_fast
2016-05-11 15:07:56.976,-1.3125,0.40625,0.390625,walk_fast
2016-05-11 15:07:56.986,-1.109375,0.390625,0.5,walk_fast
2016-05-11 15:07:56.995,-0.953125,0.421875,0.46875,walk_fast
2016-05-11 15:07:57.005,-0.796875,0.5,0.375,walk_fast
2016-05-11 15:07:57.015,-0.6875,0.53125,0.265625,walk_fast
2016-05-11 15:07:57.025,-0.5625,0.46875,0.21875,walk_fast
2016-05-11 15:07:57.035,-0.453125,0.4375,0.1875,walk_fast
2016-05-11 15:07:57.044,-0.34375,0.3125,0.203125,walk_fast
2016-05-11 15:07:57.054,-0.234375,0.171875,0.25,walk_fast
2016-05-11 15:07:57.064,-0.171875,0.015625,0.28125,walk_fast
2016-05-11 15:07:57.074,-0.125,-0.09375,0.296875,walk_fast
2016-05-11 15:07:57.084,-0.171875,0.015625,0.3125,walk_fast
2016-05-11 15:07:57.094,-0.234375,0.09375,0.25,walk_fast
2016-05-11 15:07:57.104,-0.265625,0.21875,0.234375,walk_fast
2016-05-11 15:07:57.113,-0.265625,0.421875,0.171875,walk_fast
2016-05-11 15:07:57.123,-0.25,0.578125,0.203125,walk_fast
2016-05-11 15:07:57.133,-0.171875,0.796875,0.265625,walk_fast
2016-05-11 15:07:57.143,-0.125,1.015625,0.421875,walk_fast
2016-05-11 15:07:57.153,-0.109375,0.9375,0.5625,walk_fast
2016-05-11 15:07:57.162,-0.140625,0.484375,0.625,walk_fast
2016-05-11 15:07:57.172,-0.1875,0.03125,0.75,walk_fast
2016-05-11 15:07:57.182,-0.5,-0.171875,0.65625,walk_fast
2016-05-11 15:07:57.192,-1.0,-0.265625,0.0,walk_fast
2016-05-11 15:07:57.202,-2.328125,-1.625,-2.53125,walk_fast
2016-05-11 15:07:57.212,-4.546875,-2.984375,-3.28125,walk_fast
2016-05-11 15:07:57.222,-4.015625,-2.046875,-0.6875,walk_fast
2016-05-11 15:07:57.231,-1.75,-1.8125,-0.375,walk_fast
2016-05-11 15:07:57.241,-0.75,-1.234375,-1.109375,walk_fast
2016-05-11 15:07:57.251,-0.28125,-0.96875,-1.0625,walk_fast
2016-05-11 15:07:57.261,0.03125,-0.84375,0.0,walk_fast
2016-05-11 15:07:57.271,0.203125,-0.453125,2.203125,walk_fast
2016-05-11 15:07:57.280,-0.828125,1.0,2.890625,walk_fast
2016-05-11 15:07:57.290,-2.421875,2.375,0.0,walk_fast
2016-05-11 15:07:57.300,-2.34375,1.65625,-2.578125,walk_fast
2016-05-11 15:07:57.310,-1.59375,0.515625,-2.09375,walk_fast
2016-05-11 15:07:57.320,-1.296875,-0.59375,0.65625,walk_fast
2016-05-11 15:07:57.330,-1.109375,0.171875,1.703125,walk_fast
2016-05-11 15:07:57.340,-0.703125,0.140625,1.03125,walk_fast
